County,pop2020,pop2018,GrowthRate,pop2020,,
Allegany  ,1326833.74,70975,-5.3237,1326834,,
Anne_Arundel  ,35184248.34,576031,6.8154,35184248,, 
Baltimore_City,2363691.809,602495,-2.9807,2363692,,
Baltimore  ,11412444.38,828431,2.7116,11412444,,
Calvert  ,1771556.554,92003,3.3881,1771557,,
Caroline  ,102729.175,33304,0.7563,102729,,
Carroll  ,502809.8877,168429,0.7278,502810,,
Cecil  ,716601.7985,102826,1.6399,716602,,
Charles  ,18661954.32,161503,9.7495,18661954,,
Dorchester  ,39488.69372,31998,-2.1109,39489,,
Frederick  ,26369162.48,255648,9.1561,26369162,,
Garrett  ,146942.9691,29163,-3.2447,146943,,
Harford  ,5271862.05,253956,3.5562,5271862,,
Howard  ,54424507.32,323196,11.9767,54424507,,
Kent  ,186450.9355,19383,-4.1015,186451,,
Montgomery,81763158.64,1052570,7.8136,81763159,,
Prince_Georges,33080805.59,909308,5.0316,33080806,,
Queen_Annes,1874624.652,50251,5.1078,1874625,,
Somerset  ,100798.6625,25675,-2.9814,100799,,
St_Marys,6381365.121,112664,6.526,6381365,,
Talbot  ,71641.85501,36968,-2.3921,71642,,
Washington  ,1507659.031,150926,2.1606,1507659,,
Wicomico  ,2863740.752,103195,4.2679,2863741,,
Worcester  ,136878.7964,51823,0.6252,136879,,
